"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"18505151",2026,2,"WTA Tour",1767312600,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Bondar A.","Kalinina A.","610520","561744",75,155,900,462,1,2,0,6,4,7,6,"","","","","","",2.81,1.38,2.42,1.5,7,3,6,1,61,56,44,39,40,43,57,60
"35133526",2026,2,"WTA Tour",1767312600,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Masarova R.","Volynets K.","149280","421894",116,93,659,810,2,0,2,4,6,4,6,"","","","","","",2.45,1.49,2.2,1.6,7,0,2,0,57,66,34,43,33,43,57,67
"90951843",2026,2,"WTA Tour",1767312600,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Ruzic A.","Timofeeva M.","651454","394732",73,142,913,513,2,0,2,5,7,4,6,"","","","","","",1.37,2.85,1.49,2.45,0,3,6,1,54,69,31,46,50,33,67,50
"47560215",2026,2,"WTA Tour",1767312600,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sramkova R.","Cabrera L.","123538","434532",72,278,914,249,1,2,0,6,4,6,2,"","","","","","",1.44,2.59,1.55,2.29,8,4,2,5,65,55,45,35,50,20,80,50
"40109825",2026,2,"WTA Tour",1767317400,"02 Jan 2026","Brisbane WTA - Qualification","","hard",1,"FINISHED","CANCELED","Zhang S.","Avanesyan E.","952597","272544",87,118,829,649,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48933213",2026,2,"WTA Tour",1767318300,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sharma A.","Rakhimova K.","529952","568609",159,97,451,802,2,0,2,2,6,2,6,"","","","","","",3.84,1.22,2.94,1.35,4,0,8,7,45,66,34,55,25,56,44,75
"34069314",2026,2,"WTA Tour",1767319500,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Tomova V.","Sasnovich A.","897792","114904",131,114,557,685,2,0,2,2,6,2,6,"","","","","","",2.53,1.46,2.23,1.58,4,6,2,1,49,71,29,51,0,67,33,100
"57036734",2026,2,"WTA Tour",1767319800,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Zhang S.","Ferro F.","952597","192242",87,395,829,152,1,2,1,6,2,3,6,6,4,"","","","",1.19,4.24,1.32,3.09,4,4,4,4,60,56,44,40,28,50,50,72
"57489187",2026,2,"WTA Tour",1767320700,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Preston T.","Selekhmeteva O.","410890","825397",197,100,368,784,1,2,0,7,6,6,3,"","","","","","",2.23,1.58,2.1,1.66,3,4,5,9,55,47,53,45,30,57,43,70
"67647166",2026,2,"WTA Tour",1767323100,"02 Jan 2026","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Putintseva Y.","Hon P.","133650","861465",71,119,924,644,1,2,0,6,4,6,3,"","","","","","",1.6,2.2,1.68,2.06,2,3,0,2,64,51,49,36,63,60,40,38
